time_s,Jet1_candidate_height_m,Jet1_candidate_delta_m,Jet1_candidate_region,Jet1_candidate_r,early_time,continuous_H,not_isolated,near_top_flag,pseudo_spike_flag,candidate_flag,H_m,H_mm
0.0045000000000000005,6.233936263432989e-05,0.0,center_hole_region,0.003,True,True,True,False,False,False,6.233936263432989e-05,0.06233936263432989
0.0046,6.233936263432989e-05,0.0,center_hole_region,0.003,True,True,True,False,False,False,6.233936263432989e-05,0.06233936263432989
0.0047,6.233936263432989e-05,0.0,center_hole_region,0.003,True,True,True,False,False,False,6.233936263432989e-05,0.06233936263432989
0.0048000000000000004,6.233936263432989e-05,0.0,center_hole_region,0.003,True,True,True,False,False,False,6.233936263432989e-05,0.06233936263432989
0.0049,6.233936263432989e-05,0.0,center_hole_region,0.003,True,True,True,False,False,False,6.233936263432989e-05,0.06233936263432989
0.005,6.233936263432989e-05,0.0,center_hole_region,0.003,True,True,True,False,False,False,6.233936263432989e-05,0.06233936263432989
0.0051,6.233936263432989e-05,0.0,center_hole_region,0.003,True,True,True,False,False,False,6.233936263432989e-05,0.06233936263432989
0.005200000000000001,6.233936263432989e-05,0.0,center_hole_region,0.003,True,True,True,False,False,False,6.233936263432989e-05,0.06233936263432989
0.0053,6.233936263432989e-05,0.0,center_hole_region,0.003,True,True,True,False,False,False,6.233936263432989e-05,0.06233936263432989
0.0054,6.233936263432989e-05,0.0,center_hole_region,0.003,True,True,True,False,False,False,6.233936263432989e-05,0.06233936263432989
0.0055000000000000005,6.233936263432989e-05,0.0,center_hole_region,0.003,True,True,True,False,False,False,6.233936263432989e-05,0.06233936263432989
0.0056,6.233936263432989e-05,0.0,center_hole_region,0.003,True,True,True,False,False,False,6.233936263432989e-05,0.06233936263432989
0.0057,6.233936263432989e-05,0.0,center_hole_region,0.003,True,True,True,False,False,False,6.233936263432989e-05,0.06233936263432989
0.0058000000000000005,6.233936263432989e-05,0.0,center_hole_region,0.003,True,True,True,False,False,False,6.233936263432989e-05,0.06233936263432989
0.0059,6.233936263432989e-05,0.0,center_hole_region,0.003,True,True,True,False,False,False,6.233936263432989e-05,0.06233936263432989
0.006,6.233936263432989e-05,0.0,center_hole_region,0.003,True,True,True,False,False,False,6.233936263432989e-05,0.06233936263432989
0.0061,6.233936263432989e-05,0.0,center_hole_region,0.003,True,True,True,False,False,False,6.233936263432989e-05,0.06233936263432989
0.006200000000000001,6.233936263432989e-05,0.0,center_hole_region,0.003,True,True,True,False,False,False,6.233936263432989e-05,0.06233936263432989
0.0063,6.233936263432989e-05,0.0,center_hole_region,0.003,True,True,True,False,False,False,6.233936263432989e-05,0.06233936263432989
0.0064,6.233936263432989e-05,0.0,center_hole_region,0.003,True,True,True,False,False,False,6.233936263432989e-05,0.06233936263432989
0.006500000000000001,6.233936263432989e-05,0.0,center_hole_region,0.003,True,True,True,False,False,False,6.233936263432989e-05,0.06233936263432989
0.0066,6.233936263432989e-05,0.0,center_hole_region,0.003,True,True,True,False,False,False,6.233936263432989e-05,0.06233936263432989
0.0067,6.233936263432989e-05,0.0,center_hole_region,0.003,True,True,True,False,False,False,6.233936263432989e-05,0.06233936263432989
0.0068000000000000005,6.233936263432989e-05,0.0,center_hole_region,0.003,True,True,True,False,False,False,6.233936263432989e-05,0.06233936263432989
0.006900000000000001,6.233936263432989e-05,0.0,center_hole_region,0.003,True,True,True,False,False,False,6.233936263432989e-05,0.06233936263432989
0.007,6.233936263432989e-05,0.0,center_hole_region,0.003,True,True,True,False,False,False,6.233936263432989e-05,0.06233936263432989
0.0071,6.233936263432989e-05,0.0,center_hole_region,0.003,True,True,True,False,False,False,6.233936263432989e-05,0.06233936263432989
0.007200000000000001,6.233936263432989e-05,0.0,center_hole_region,0.003,True,True,True,False,False,False,6.233936263432989e-05,0.06233936263432989
0.0073,6.233936263432989e-05,0.0,center_hole_region,0.003,True,True,True,False,False,False,6.233936263432989e-05,0.06233936263432989
0.0074,6.233936263432989e-05,0.0,center_hole_region,0.003,True,True,True,False,False,False,6.233936263432989e-05,0.06233936263432989
0.007500000000000001,6.233936263432989e-05,0.0,center_hole_region,0.003,True,True,True,False,False,False,6.233936263432989e-05,0.06233936263432989
0.0076,6.233936263432989e-05,0.0,center_hole_region,0.003,True,True,True,False,False,False,6.233936263432989e-05,0.06233936263432989
0.0077,6.233936263432989e-05,0.0,center_hole_region,0.003,True,True,True,False,False,False,6.233936263432989e-05,0.06233936263432989
0.0078000000000000005,6.233936263432989e-05,0.0,center_hole_region,0.003,True,True,True,False,False,False,6.233936263432989e-05,0.06233936263432989
0.0079,6.233936263432989e-05,0.0,center_hole_region,0.003,True,True,True,False,False,False,6.233936263432989e-05,0.06233936263432989
0.008,6.233936263432989e-05,0.0,center_hole_region,0.003,True,True,True,False,False,False,6.233936263432989e-05,0.06233936263432989
0.0081,6.233936263432989e-05,0.0,center_hole_region,0.003,True,True,True,False,False,False,6.233936263432989e-05,0.06233936263432989
