case_id,time,H_median,H_mean,H_p95,H_p99,pseudo_spike_ROI_flag,interface_points_count,main_component_points_count,interface_roughness_peak_to_peak
D0,0.0025,6.932411272428081e-07,-1.884031551361859e-05,8.820842907227166e-05,0.0001450603511543964,True,117,117,0.001135364257308472
D0,0.0026000000000000003,7.854121198348134e-07,-1.8677969425313445e-05,8.6958025125646e-05,0.00014399459685693008,True,117,117,0.0011323743443685903
D0,0.0027,8.977096324000444e-07,-1.8511979845096997e-05,8.569671783372076e-05,0.0001429159689383028,True,117,117,0.001129367111042902
D0,0.0028,9.813373624695807e-07,-1.8342382970459336e-05,8.442589683468443e-05,0.00014182532512839146,True,117,117,0.0011263437791649523
D0,0.0029000000000000002,1.0831861298367525e-06,-1.8170216212789453e-05,8.316421437629735e-05,0.00014073486907516632,True,117,117,0.001123322032174614
D0,0.003,1.1883245700655698e-06,-1.799513101256393e-05,8.168887175315956e-05,0.00013963597552350363,True,117,117,0.0011202893919181655
D0,0.0031000000000000003,1.2967769757877136e-06,-1.781705394504663e-05,8.020490615649634e-05,0.00013852859861197966,True,117,117,0.001117245794066914
D0,0.0032,1.130011112414758e-06,-1.7635559036409937e-05,7.871229883918418e-05,0.00013741269230671999,True,117,117,0.001114191173835283
D0,0.0033,9.063324051932495e-07,-1.7450737931639582e-05,7.7213106020298e-05,0.00013652101711712292,True,117,117,0.001111127139954923
D0,0.0034000000000000002,6.757515871261666e-07,-1.7264322703029527e-05,7.573470657692279e-05,0.00013571104751865064,True,117,117,0.001108075748132615
D0,0.0035,4.3744550825759347e-07,-1.7075052127673056e-05,7.42580452701046e-05,0.00013490244340351936,True,117,117,0.001105021614394277
D0,0.0036000000000000003,1.2323432766941705e-06,-1.6882893787640167e-05,7.2783184538418e-05,0.00013409520462952522,True,117,117,0.001101964761384096
D0,0.0037,2.0424788148623845e-06,-1.6687814531621982e-05,7.131018649013767e-05,0.00013328933113086148,True,117,117,0.001098905211867896
D0,0.0038,2.12900115770061e-06,-1.6489909871371637e-05,6.984113374705603e-05,0.00013248584865177044,True,117,117,0.0010958439903683394
D0,0.0039000000000000003,2.256863882951841e-06,-1.6290860730418798e-05,6.84027625071501e-05,0.000131698282970159,True,117,117,0.0010927943672723035
D0,0.004,2.387038355479101e-06,-1.6089455794797258e-05,6.93127615808115e-05,0.00013091720470522793,True,117,117,0.0010897472155494852
D0,0.0041,2.519546640793592e-06,-1.588567136081277e-05,7.022830764298068e-05,0.00013014264184895205,True,117,117,0.0010867026201148303
D0,0.004200000000000001,2.3003869108021997e-06,-1.6563648879270286e-05,6.917527879776095e-05,0.00012902593629170845,True,118,118,0.0010836606656620161
D0,0.0043,2.7973847539968415e-06,-1.6343839937766945e-05,6.733975890848355e-05,0.00012827175985809992,True,118,118,0.0010806219555252409
D0,0.0044,2.9069219396825507e-06,-1.612309583128925e-05,6.550957748069801e-05,0.00012753791427975208,True,118,118,0.0010775934439167388
D0,0.0045000000000000005,3.007743868424279e-06,-1.590028227906589e-05,6.329263912719274e-05,0.00012681554710560153,True,118,118,0.0010745704852575004
D0,0.0046,3.1513651654907537e-06,-1.5675057051853264e-05,6.086849864339056e-05,0.00012610471436169844,True,118,118,0.0010715532006750914
D0,0.0047,3.21760420786518e-06,-1.54478099983507e-05,5.962024987806275e-05,0.00012540547268303817,True,118,118,0.0010685417102847066
