case_id,inner,time,method,interface_points_count,main_component_points_count,number_of_components,H_median,H_mean,H_p95,H_p99,H_max_after_ROI_filter,interface_roughness_rms,interface_roughness_peak_to_peak,max_slope,pseudo_spike_old_flag,pseudo_spike_ROI_flag,outer_wall_contamination_flag,top_boundary_contamination_flag,ring_boundary_contamination_flag,isolated_component_count,extraction_status,failure_reason,H_raw_global_old,H_robust_old,diagnostic_only
D0,44,0.0043,M0_old_original,120,120,1,2.906943512162268e-06,5.955573957552855e-05,7.893598628238771e-05,0.00048188544001439925,0.007333149375745498,0.0006784198785825088,0.008209966930337532,33.148958688716746,True,True,True,False,False,0,PASS,,0.007333149375745498,2.906943512162268e-06,
D0,44,0.0043,M1_ROI_main_free_surface,118,118,1,2.7973847539968415e-06,-1.6343839937766945e-05,6.733975890848355e-05,0.00012827175985809992,0.0004977858709872964,0.00010777672917856628,0.0010806219555252409,5.229289497288823,False,True,False,False,False,0,PASS,,,,
D0,44,0.0043,M2_center_window,33,33,1,-9.950009014631108e-06,-7.126110046801569e-06,4.814386024986607e-05,6.20562230498658e-05,6.235244853078348e-05,3.0983021659834284e-05,0.00014247381341747991,1.9079195366994448,False,True,False,False,False,0,PASS,,,,
D0,44,0.0043,M3_farfield_reference,66,66,1,4.1183670794730424e-06,1.6436567411412773e-05,0.00020851877135787963,0.00037140354006429035,0.0005423706629556194,0.00010762833048472713,0.0008638724373434417,5.14385282799646,False,True,False,False,False,0,PASS,,,,
D0,44,0.0043,M4_smoothed_main_interface,118,118,1,3.3062027458420256e-06,-1.7556971994435385e-06,4.0612418005581487e-05,4.804209624221095e-05,4.804209624221095e-05,3.074241791297849e-05,0.00016075684852390773,0.18601211273090848,False,False,False,False,False,0,PASS,,,,True
D0,45,0.0044,M0_old_original,120,120,1,2.923378754595062e-06,5.960456745411678e-05,7.677474639378564e-05,0.0004818854402660226,0.007325102713651626,0.0006776718450199871,0.0082011254838655,33.11199927293179,True,True,True,False,False,0,PASS,,0.007325102713651626,2.923378754595062e-06,
D0,45,0.0044,M1_ROI_main_free_surface,118,118,1,2.9069219396825507e-06,-1.612309583128925e-05,6.550957748069801e-05,0.00012753791427975208,0.0004969305174637616,0.00010749153418338015,0.0010775934439167388,5.215833271730018,False,True,False,False,False,0,PASS,,,,
D0,45,0.0044,M2_center_window,33,33,1,-9.878760720423065e-06,-6.937447571763855e-06,4.845911463591273e-05,6.201911538612976e-05,6.206502993475686e-05,3.089719070069147e-05,0.0001421653319919066,1.8769429567211204,False,True,False,False,False,0,PASS,,,,
D0,45,0.0044,M3_farfield_reference,66,66,1,4.382735533349247e-06,1.6477361887837027e-05,0.0002079033492531652,0.0003702501853432289,0.0005416447694815221,0.00010708319776714754,0.0008631118765861034,5.12428501214256,False,True,False,False,False,0,PASS,,,,
D0,45,0.0044,M4_smoothed_main_interface,118,118,1,3.947968409241961e-06,-1.5313068129796332e-06,4.159852417196308e-05,4.691842034144044e-05,4.691842034144044e-05,3.084316749702438e-05,0.00015878578417469162,0.18489182924498107,False,False,False,False,False,0,PASS,,,,True
