model_id,inner_solution,time_s,interface_threshold,interface_points,max_interface_z_m,H_m,H_mm,near_domain_top
5B3_R1_static_baseline,35,0.0068000000000000005,0.5,29,0.000904865600628327,0.000904865600628327,0.9048656006283271,False
5B3_R1_static_baseline,36,0.007,0.5,30,0.000904865600628327,0.000904865600628327,0.9048656006283271,False
5B3_R1_static_baseline,37,0.007200000000000001,0.5,30,0.000904865600628327,0.000904865600628327,0.9048656006283271,False
5B3_R1_static_baseline,38,0.0074,0.5,30,0.000904865600628327,0.000904865600628327,0.9048656006283271,False
5B3_R1_static_baseline,39,0.0076,0.5,30,0.000904865600628327,0.000904865600628327,0.9048656006283271,False
5B3_R1_static_baseline,40,0.0078000000000000005,0.5,30,0.000904865600628327,0.000904865600628327,0.9048656006283271,False
5B3_R1_static_baseline,41,0.008,0.5,31,0.0010806263704477056,0.0010806263704477056,1.0806263704477057,False
5B3_R1_static_baseline,42,0.0082,0.5,31,0.0010806263704477056,0.0010806263704477056,1.0806263704477057,False
5B3_R1_static_baseline,43,0.008400000000000001,0.5,31,0.0010806263704477056,0.0010806263704477056,1.0806263704477057,False
5B3_R1_static_baseline,44,0.0086,0.5,31,0.0010806263704477056,0.0010806263704477056,1.0806263704477057,False
5B3_R1_static_baseline,45,0.0088,0.5,32,0.0010806263704477056,0.0010806263704477056,1.0806263704477057,False
5B3_R1_static_baseline,46,0.009000000000000001,0.5,32,0.0010806263704477056,0.0010806263704477056,1.0806263704477057,False
5B3_R1_static_baseline,47,0.0092,0.5,32,0.0010806263704477056,0.0010806263704477056,1.0806263704477057,False
5B3_R1_static_baseline,48,0.0094,0.5,32,0.0010806263704477056,0.0010806263704477056,1.0806263704477057,False
5B3_R1_static_baseline,49,0.009600000000000001,0.5,32,0.0010806263704477056,0.0010806263704477056,1.0806263704477057,False
5B3_R1_static_baseline,50,0.0098,0.5,33,0.0011561766009960475,0.0011561766009960475,1.1561766009960475,False
5B3_R1_static_baseline,51,0.01,0.5,33,0.0011561766009960475,0.0011561766009960475,1.1561766009960475,False
5B3_R1_static_baseline,52,0.0102,0.5,34,0.0011561766009960475,0.0011561766009960475,1.1561766009960475,False
5B3_R1_static_baseline,53,0.010400000000000001,0.5,34,0.0011561766009960475,0.0011561766009960475,1.1561766009960475,False
5B3_R1_static_baseline,54,0.0106,0.5,34,0.0011561766009960475,0.0011561766009960475,1.1561766009960475,False
5B3_R1_static_baseline,55,0.0108,0.5,34,0.0011561766009960475,0.0011561766009960475,1.1561766009960475,False
5B3_R1_static_baseline,56,0.011000000000000001,0.5,34,0.0011561766009960475,0.0011561766009960475,1.1561766009960475,False
5B3_R1_static_baseline,57,0.0112,0.5,35,0.001230258302551709,0.001230258302551709,1.230258302551709,False
5B3_R1_static_baseline,58,0.0114,0.5,35,0.001230258302551709,0.001230258302551709,1.230258302551709,False
5B3_R1_static_baseline,59,0.011600000000000001,0.5,35,0.001230258302551709,0.001230258302551709,1.230258302551709,False
5B3_R1_static_baseline,60,0.0118,0.5,35,0.001230258302551709,0.001230258302551709,1.230258302551709,False
5B3_R1_static_baseline,61,0.012,0.5,35,0.001230258302551709,0.001230258302551709,1.230258302551709,False
5B3_R1_static_baseline,62,0.0122,0.5,35,0.0012302583025517093,0.0012302583025517093,1.2302583025517093,False
5B3_R1_static_baseline,63,0.012400000000000001,0.5,35,0.001230258302551709,0.001230258302551709,1.230258302551709,False
5B3_R1_static_baseline,64,0.0126,0.5,35,0.0012302583025517093,0.0012302583025517093,1.2302583025517093,False
5B3_R1_static_baseline,65,0.0128,0.5,35,0.001230258302551709,0.001230258302551709,1.230258302551709,False
5B3_R1_static_baseline,66,0.013000000000000001,0.5,35,0.001230258302551709,0.001230258302551709,1.230258302551709,False
5B3_R1_static_baseline,67,0.0132,0.5,35,0.001230258302551709,0.001230258302551709,1.230258302551709,False
5B3_R1_static_baseline,68,0.0134,0.5,35,0.001230258302551709,0.001230258302551709,1.230258302551709,False
5B3_R1_static_baseline,69,0.013600000000000001,0.5,35,0.0012302583025517093,0.0012302583025517093,1.2302583025517093,False
5B3_R1_static_baseline,70,0.013800000000000002,0.5,35,0.001230258302551709,0.001230258302551709,1.230258302551709,False
5B3_R1_static_baseline,71,0.014,0.5,35,0.0012302583025517089,0.0012302583025517089,1.2302583025517089,False
5B3_R1_static_baseline,72,0.0142,0.5,35,0.001230258302551709,0.001230258302551709,1.230258302551709,False
5B3_R1_static_baseline,73,0.014400000000000001,0.5,35,0.001230258302551709,0.001230258302551709,1.230258302551709,False
5B3_R1_static_baseline,74,0.0146,0.5,35,0.001230258302551709,0.001230258302551709,1.230258302551709,False
