case	time	z_base	r_base	z_tip	r_tip	n_out
2810	0.300000	-1.874023e+00	4.882812e-03	-1.834961e+00	2.490234e-01	1
2810	0.310000	-1.864258e+00	4.882812e-03	-1.825195e+00	2.490234e-01	1
2810	0.320000	-1.854492e+00	4.882812e-03	-1.815430e+00	2.490234e-01	1
2810	0.330000	-1.844727e+00	4.882812e-03	-1.805664e+00	2.490234e-01	1
2810	0.340000	-1.834961e+00	4.882812e-03	-1.795898e+00	2.392578e-01	1
2810	0.350000	-1.825195e+00	4.882812e-03	-1.776367e+00	2.490234e-01	1
2810	0.360000	-1.815430e+00	4.882812e-03	-1.766602e+00	2.392578e-01	1
2810	0.370000	-1.805664e+00	4.882812e-03	-1.756836e+00	2.490234e-01	1
2810	0.380000	-1.786133e+00	4.882812e-03	-1.747070e+00	2.490234e-01	1
2810	0.390000	-1.756836e+00	4.882812e-03	-1.717773e+00	2.490234e-01	1
2810	0.400000	-1.756836e+00	1.123047e-01	-1.678711e+00	2.490234e-01	1
2810	0.410000	-1.737305e+00	4.882812e-03	-1.659180e+00	2.392578e-01	1
2810	0.420000	-1.756836e+00	4.882812e-03	-1.659180e+00	1.513672e-01	1
2810	0.430000	-1.698242e+00	4.882812e-03	-1.541992e+00	2.490234e-01	1
2810	0.440000	-1.639648e+00	1.220703e-01	-1.385742e+00	2.490234e-01	1
2810	0.450000	-1.454102e+00	6.347656e-02	-1.307617e+00	2.490234e-01	1
2810	0.460000	-1.307617e+00	1.025391e-01	-1.063477e+00	4.882812e-03	1
2810	0.470000	-1.209961e+00	1.416016e-01	-7.802734e-01	4.882812e-03	1
2810	0.480000	-1.131836e+00	1.708984e-01	-5.068359e-01	4.882812e-03	1
2810	0.490000	-1.073242e+00	2.001953e-01	-2.626953e-01	4.882812e-03	1
2810	0.500000	-1.024414e+00	2.294922e-01	-1.855469e-02	4.882812e-03	1
2810	0.510000	-9.853516e-01	2.587891e-01	2.255859e-01	4.882812e-03	1
2810	0.520000	-9.462891e-01	2.685547e-01	4.599609e-01	4.882812e-03	1
2810	0.530000	-9.169922e-01	2.978516e-01	6.943359e-01	4.882812e-03	1
2810	0.540000	-8.876953e-01	3.173828e-01	9.482422e-01	4.882812e-03	1
2810	0.550000	-8.583984e-01	3.173828e-01	1.192383e+00	4.882812e-03	1
2810	0.560000	-8.388672e-01	3.466797e-01	1.426758e+00	4.882812e-03	1
2810	0.570000	-8.193359e-01	3.759766e-01	1.661133e+00	4.882812e-03	1
2810	0.580000	-7.998047e-01	3.857422e-01	1.905273e+00	4.882812e-03	1
2810	0.590000	-7.802734e-01	3.955078e-01	2.149414e+00	4.882812e-03	1
2810	0.600000	-7.607422e-01	3.955078e-01	2.374023e+00	4.882812e-03	1
2810	0.610000	-7.509766e-01	4.443359e-01	2.618164e+00	4.882812e-03	1
2810	0.620000	-7.314453e-01	4.345703e-01	2.862305e+00	4.882812e-03	1
2810	0.630000	-7.216797e-01	4.638672e-01	3.096680e+00	4.882812e-03	1
2810	0.640000	-7.021484e-01	4.541016e-01	3.331055e+00	4.882812e-03	1
2810	0.650000	-6.923828e-01	4.736328e-01	3.565430e+00	4.882812e-03	1
2810	0.660000	-6.826172e-01	4.931641e-01	3.799805e+00	4.882812e-03	1
2810	0.670000	-6.728516e-01	5.126953e-01	3.995117e+00	5.371094e-02	1
2810	0.680000	-6.630859e-01	5.322266e-01	3.116211e+00	4.882812e-03	1
2810	0.690000	-6.533203e-01	5.419922e-01	3.291992e+00	4.882812e-03	1
