case	time	volume	ke	umax	z_umax	r_umax	leaves	delta_min	n_liquid	z_all	z_main	z_center
2820	0.37000000000000016	1880.8252385890491	4.4897925685649769	13.120236686202377	-0.78515625	0.01953125	6934	0.0390625	1	0.021555712103951588	0.021555712103951588	-1.8045744140294628
2820	0.38000000000000017	1880.8252473334073	4.6048032993016736	13.736199974302636	-0.82421875	0.01953125	6976	0.0390625	1	0.021759972875617841	0.021759972875617841	-1.7910401238164211
2820	0.39000000000000018	1880.8252429606173	4.7107716856453541	14.48814491308112	-0.86328125	0.01953125	7021	0.0390625	1	0.022099547673923681	0.022099547673923681	-1.776628781137648
2820	0.40000000000000019	1880.8252371664378	4.8109875886507654	15.46334644657273	-0.94140625	0.01953125	7045	0.0390625	1	0.022156435315230875	0.022156435315230875	-1.7612921943131514
2820	0.4100000000000002	1880.8252303624145	4.9008278392067792	16.728808443351021	-0.98046875	0.01953125	7078	0.0390625	1	0.022645499264955699	0.022645499264955699	-1.7442957224056541
2820	0.42000000000000021	1880.8252157442678	4.974786387589325	18.504997218386414	-1.05859375	0.01953125	7135	0.0390625	1	0.022889067450619159	0.022889067450619159	-1.7258290196709207
2820	0.43000000000000022	1880.8252062282738	5.0344458261237675	21.135939120142947	-1.13671875	0.01953125	7171	0.0390625	1	0.023210290532817181	0.023210290532817181	-1.7045515521561772
2820	0.44000000000000022	1880.8251880127575	5.0768535261238625	25.612266555371168	-1.21484375	0.01953125	7171	0.0390625	1	0.02363281289236354	0.02363281289236354	-1.6802405448450835
2820	0.45000000000000023	1880.8251695705353	5.0772430099682833	34.75126434321826	-1.29296875	0.01953125	7165	0.0390625	1	0.023850043987221271	0.023850043987221271	-1.652092596359823
2820	0.46000000000000024	1880.8251653097477	5.0080407386035422	61.015613576187867	-1.33203125	0.01953125	7171	0.0390625	1	0.024460940709030043	0.024460940709030043	-1.6157122796068015
2820	0.47000000000000025	1880.8251637233836	4.623455217933361	112.67612704405923	-1.29296875	0.01953125	7174	0.0390625	1	0.024806235454041543	0.024806235454041543	-1.4004851108997698
2820	0.48000000000000026	1880.8251568769219	4.2903460734941996	40.249967387494472	-0.82421875	0.01953125	7066	0.0390625	1	0.025484976920067924	0.025484976920067924	-1.2080563321214575
2820	0.49000000000000027	1880.8251477882893	4.1669826452520651	26.858904565907654	-0.58984375	0.01953125	7009	0.0390625	1	0.026072626083654578	0.026072626083654578	-1.003220972282965
2820	0.50000000000000022	1880.8251594087424	4.0710273144483686	20.828725013406622	-0.43359375	0.01953125	6991	0.0390625	1	0.02673723862526195	0.02673723862526195	-0.82895119074395551
2820	0.51000000000000023	1880.8251679127852	4.0038673984129272	17.242239748008096	-0.31640625	0.01953125	6976	0.0390625	1	0.027498618946368122	0.027498618946368122	-0.71380485402680327
2820	0.52000000000000024	1880.8251688755317	3.9524405746090512	14.828284881847477	-0.23828125	0.01953125	6979	0.0390625	1	0.028134346028833065	0.028134346028833065	-0.60246426867200542
2820	0.53000000000000025	1880.8251596912171	3.9004854899666923	13.122163824629574	-0.19921875	0.01953125	7006	0.0390625	1	0.029025906264423838	0.029025906264423838	-0.482883295079099
2820	0.54000000000000026	1880.8251607770403	3.8458322935699183	11.802142478012364	-0.12109375	0.01953125	7015	0.0390625	1	0.029637316916659051	0.029637316916659051	-0.36664007265343679
2820	0.55000000000000027	1880.8251601257671	3.7842343942987666	10.830402077226958	-0.47265625	0.01953125	7030	0.0390625	1	0.030609469494690865	0.030609469494690865	-0.27089576491354039
2820	0.56000000000000028	1880.8251675896445	3.7219524246729732	10.299387022627251	-0.39453125	0.01953125	7048	0.0390625	1	0.031251375275598126	0.031251375275598126	-0.18745784362405452
2820	0.57000000000000028	1880.8251596243765	3.6624167210272502	9.8531506335617554	-0.35546875	0.01953125	7069	0.0390625	1	0.032188468746469544	0.032188468746469544	-0.10929561064602084
2820	0.58000000000000029	1880.8251547963603	3.6036667305317471	9.4913111446411609	-0.31640625	0.01953125	7099	0.0390625	1	0.032840924624450075	0.032840924624450075	-0.034445835708587176
2820	0.5900000000000003	1880.8251563494684	3.5476878817256678	9.0642048787578506	-0.23828125	0.01953125	7093	0.0390625	1	0.037527574308045347	0.037527574308045347	0.037527574308045347
2820	0.60000000000000031	1880.8251588329933	3.4947789641834732	8.5366076299437541	-0.00390625	0.13671875	7126	0.0390625	1	0.10757177354651443	0.10757177354651443	0.10757177354651443
2820	0.61000000000000032	1880.8251611162973	3.4439360684630813	8.2176242185391537	0.03515625	0.13671875	7144	0.0390625	1	0.17808726458194268	0.17808726458194268	0.17808726458194268
2820	0.62000000000000033	1880.8251620362157	3.3923483790345847	7.9394269235570425	0.15234375	0.13671875	7159	0.0390625	1	0.25224582718061739	0.25224582718061739	0.25224582718061739
2820	0.63000000000000034	1880.8251630210116	3.3428281140957639	8.1687342892389694	0.03515625	0.05859375	7171	0.0390625	1	0.32887135640214871	0.32887135640214871	0.32887135640214871
2820	0.64000000000000035	1880.8251617991889	3.2875186847940649	8.0922056339774429	0.07421875	0.01953125	7213	0.0390625	1	0.40485326624083834	0.40485326624083834	0.40485326624083834
2820	0.65000000000000036	1880.8251592380373	3.2260557627614119	7.9247305504663386	0.11328125	0.01953125	7240	0.0390625	1	0.47513586715780559	0.47513586715780559	0.47513586715780559
2820	0.66000000000000036	1880.8251567639122	3.1703572985762793	7.7066205507471608	0.15234375	0.01953125	7258	0.0390625	1	0.5304545521996713	0.5304545521996713	0.5304545521996713
2820	0.67000000000000037	1880.8251542646071	3.1155474830299807	7.4320355867810237	0.19140625	0.01953125	7273	0.0390625	1	0.5718106344828362	0.5718106344828362	0.5718106344828362
2820	0.68000000000000038	1880.8251513339403	3.0623644101755514	7.1623865274365572	0.23046875	0.01953125	7294	0.0390625	1	0.60458417690403554	0.60458417690403554	0.60458417690403554
2820	0.69000000000000039	1880.8251398547575	3.0091421034576755	6.934829316233122	0.26953125	0.01953125	7324	0.0390625	1	0.62306217680868992	0.62306217680868992	0.62306217680868992
