case_id,inner_solution,time_s,interface_points,H_m,H_mm,diagnostic_interface_height_m,diagnostic_interface_height_mm,near_top
D2,30,0.0029000000000000002,11,8.474977502194332e-05,0.08474977502194332,8.474977502194332e-05,0.08474977502194332,False
D2,31,0.003,11,8.474977502194332e-05,0.08474977502194332,8.474977502194332e-05,0.08474977502194332,False
D2,32,0.0031000000000000003,11,8.474977502194332e-05,0.08474977502194332,8.474977502194332e-05,0.08474977502194332,False
D2,33,0.0032,11,8.474977502194332e-05,0.08474977502194332,8.474977502194332e-05,0.08474977502194332,False
D2,34,0.0033,11,8.474977502194332e-05,0.08474977502194332,8.474977502194332e-05,0.08474977502194332,False
D2,35,0.0034000000000000002,11,8.474977502194332e-05,0.08474977502194332,8.474977502194332e-05,0.08474977502194332,False
D2,36,0.0035,11,8.474977502194332e-05,0.08474977502194332,8.474977502194332e-05,0.08474977502194332,False
D2,37,0.0036000000000000003,11,8.474977502194332e-05,0.08474977502194332,8.474977502194332e-05,0.08474977502194332,False
D2,38,0.0037,11,8.474977502194332e-05,0.08474977502194332,8.474977502194332e-05,0.08474977502194332,False
D2,39,0.0038,11,8.474977502194332e-05,0.08474977502194332,8.474977502194332e-05,0.08474977502194332,False
D2,40,0.0039000000000000003,11,8.474977502194332e-05,0.08474977502194332,8.474977502194332e-05,0.08474977502194332,False
D2,41,0.004,12,0.0001532150648842898,0.15321506488428982,0.0001532150648842898,0.15321506488428982,False
D2,42,0.0041,12,0.0001532150648842898,0.15321506488428982,0.0001532150648842898,0.15321506488428982,False
D2,43,0.004200000000000001,12,0.0001532150648842898,0.15321506488428982,0.0001532150648842898,0.15321506488428982,False
D2,44,0.0043,12,0.0001532150648842898,0.15321506488428982,0.0001532150648842898,0.15321506488428982,False
D2,45,0.0044,12,0.00015321506488428978,0.1532150648842898,0.00015321506488428978,0.1532150648842898,False
D2,46,0.0045000000000000005,12,0.0001532150648842898,0.15321506488428982,0.0001532150648842898,0.15321506488428982,False
D2,47,0.0046,12,0.0001532150648842898,0.15321506488428982,0.0001532150648842898,0.15321506488428982,False
D2,48,0.0047,12,0.0001532150648842898,0.15321506488428982,0.0001532150648842898,0.15321506488428982,False
D2,49,0.0048000000000000004,12,0.0001532150648842898,0.15321506488428982,0.0001532150648842898,0.15321506488428982,False
