requested_relative_ms	sample_relative_ms	z_mm	central_radius_mm	central_crossings
75	75	1	3.57001443592	2
75	75	1.25	3.70136871374	2
75	75	1.5	3.91340656337	2
75	75	1.75	4.47871957014	2
75	75	2.5	9.38671595512	1
75	75	2.75	7.9460548017	1
75	75	3	2.58492013119	2
75	75	3.25	3.17754565689	3
75	75	3.5	2.31201565269	2
75	75	3.75	2.29745902876	1
75	75	4	2.30230034885	2
75	75	4.25	2.39484536426	1
75	75	4.5	2.45683087421	1
75	75	4.75	2.51129249468	1
75	75	5	2.55125034876	1
75	75	5.25	2.57436335516	1
75	75	5.5	2.56877147612	1
75	75	5.75	2.55025868294	1
75	75	6	2.49096046722	1
75	75	6.25	2.41905462846	1
75	75	6.5	2.26175672048	1
75	75	6.75	2.09279680691	1
75	75	7	1.82558187906	1
75	75	7.25	1.44854858801	1
75.5	75.5	0	3.34088827951	2
75.5	75.5	0.25	3.37623316812	2
75.5	75.5	0.5	3.41945966385	2
75.5	75.5	0.75	3.46936720477	2
75.5	75.5	1	3.51113276741	2
75.5	75.5	1.25	3.66374118578	2
75.5	75.5	1.5	3.8051487083	2
75.5	75.5	1.75	4.12398297797	2
75.5	75.5	2.5	9.72250447879	1
75.5	75.5	2.75	8.32471346864	1
75.5	75.5	3	2.75550999281	2
75.5	75.5	3.25	2.81851432107	2
75.5	75.5	3.75	2.28091186373	1
75.5	75.5	4	2.2899645122	1
75.5	75.5	4.25	2.3183547041	2
75.5	75.5	4.5	2.42575052099	1
75.5	75.5	4.75	2.49187701872	1
75.5	75.5	5	2.52689834068	1
75.5	75.5	5.25	2.56124306898	1
75.5	75.5	5.5	2.55834861269	1
75.5	75.5	5.75	2.55316204873	1
75.5	75.5	6	2.49566739061	1
75.5	75.5	6.25	2.42583308346	1
75.5	75.5	6.5	2.27722967582	1
75.5	75.5	6.75	2.11017097881	1
75.5	75.5	7	1.86362261435	2
75.5	75.5	7.25	1.48971674477	1
75.5	75.5	7.5	0.180282015965	1
76	76	0	3.32124706007	3
76	76	0.25	3.3640082541	2
76	76	0.5	3.39777424741	2
76	76	0.75	3.45724652886	2
76	76	1	3.51091445592	2
76	76	1.25	3.6293153088	2
76	76	1.5	7.53870672833	1
76	76	1.75	4.02286037373	2
76	76	2	5.60521021954	2
76	76	2.75	8.66885904053	1
76	76	3	7.37523570982	1
76	76	3.25	6.22597255776	1
76	76	3.75	2.27286706313	2
76	76	4	2.27973806526	1
76	76	4.25	2.29507624786	1
76	76	4.5	2.39843033437	1
76	76	4.75	2.457350801	1
76	76	5	2.50509118562	1
76	76	5.25	2.53838371216	1
76	76	5.5	2.54985492751	1
76	76	5.75	2.54065835201	1
76	76	6	2.50273191278	1
76	76	6.25	2.43070930971	1
76	76	6.5	2.29433426722	1
76	76	6.75	2.12800309093	1
76	76	7	1.90911716342	1
76	76	7.25	1.5330090916	1
76	76	7.5	0.685314324371	1
76.5	76.5	0	3.29918466385	2
76.5	76.5	0.25	3.34818804223	2
76.5	76.5	0.5	3.3907243113	2
76.5	76.5	0.75	3.44508862754	2
76.5	76.5	1	3.50597254075	1
76.5	76.5	1.25	3.59691070706	2
76.5	76.5	1.5	3.73446697952	2
76.5	76.5	1.75	3.92563203605	2
76.5	76.5	2	4.42648110302	2
76.5	76.5	2.75	8.98101361069	1
76.5	76.5	3	7.72218223334	1
76.5	76.5	3.25	2.47936752881	1
76.5	76.5	3.5	3.06567441728	2
76.5	76.5	3.75	2.29751981545	1
76.5	76.5	4	2.2739995163	1
76.5	76.5	4.25	2.28109499624	1
76.5	76.5	4.5	2.32155874891	2
76.5	76.5	4.75	2.42651926517	1
76.5	76.5	5	2.48392864684	1
76.5	76.5	5.25	2.51835317249	1
76.5	76.5	5.5	2.54336916396	1
76.5	76.5	5.75	2.53209835838	1
76.5	76.5	6	2.52458382811	1
76.5	76.5	6.25	2.43561481102	1
76.5	76.5	6.5	2.34102662912	1
76.5	76.5	6.75	2.1463376339	1
76.5	76.5	7	1.93423067079	1
76.5	76.5	7.25	1.57345636885	1
76.5	76.5	7.5	0.927753394455	2
77	77	0	8.63092220962	1
77	77	0.25	3.33260230007	2
77	77	0.5	3.37961964361	2
77	77	0.75	3.41970614895	2
77	77	1	3.49428504021	2
77	77	1.25	3.55666902227	2
77	77	1.5	3.69788421214	2
77	77	1.75	3.84203974035	2
77	77	2	4.13427789497	2
77	77	2.75	9.27657780976	1
77	77	3	8.05217334142	1
77	77	3.25	2.64116615135	2
77	77	3.5	2.841305944	2
77	77	3.75	2.32381055642	1
77	77	4	2.24911636682	1
77	77	4.25	2.26737920285	1
77	77	4.5	2.2919878627	1
77	77	4.75	2.400605592	1
77	77	5	2.45995549544	1
77	77	5.25	2.50013711937	1
77	77	5.5	2.52979299871	1
77	77	5.75	2.52708510959	1
77	77	6	2.51058834635	1
77	77	6.25	2.44484740818	1
77	77	6.5	2.33876003084	2
77	77	6.75	2.17752136015	1
77	77	7	1.96174278464	1
77	77	7.25	1.61283620205	1
77	77	7.5	1.07609302422	1
77.5	77.5	0	3.25616168414	2
77.5	77.5	0.25	3.30306174069	2
77.5	77.5	0.5	3.3611694166	3
77.5	77.5	0.75	3.41295108552	2
