requested_relative_ms	sample_relative_ms	z_mm	central_radius_mm	central_crossings
52	51.9166666667	3	3.81833413383	1
52	51.9166666667	3.5	2.15076872391	1
52	51.9166666667	3.75	3.32152793314	1
52	51.9166666667	4	1.79909908314	1
52	51.9166666667	4.25	1.45878870805	1
52	51.9166666667	4.5	1.12299408206	1
52	51.9166666667	4.75	0.716434469963	1
52.5	52.4166666667	0	3.36591101108	1
52.5	52.4166666667	0.25	3.37120967775	1
52.5	52.4166666667	0.5	3.37650834442	1
52.5	52.4166666667	0.75	3.3826274716	1
52.5	52.4166666667	1	3.42763280493	1
52.5	52.4166666667	1.25	3.47263813827	1
52.5	52.4166666667	1.5	3.5176434716	1
52.5	52.4166666667	1.75	3.61413481987	1
52.5	52.4166666667	2	3.66423405009	2
52.5	52.4166666667	2.25	3.7143332803	2
52.5	52.4166666667	2.5	3.8525506492	1
52.5	52.4166666667	2.75	3.89741184074	1
52.5	52.4166666667	3	3.82898573073	1
52.5	52.4166666667	3.25	3.76055962072	1
52.5	52.4166666667	3.5	2.52102496623	1
52.5	52.4166666667	3.75	3.48971186629	1
52.5	52.4166666667	4	2.98535421619	1
52.5	52.4166666667	4.25	1.56088745968	1
52.5	52.4166666667	4.5	1.21493512826	1
52.5	52.4166666667	5	0.0537470503747	1
53	52.9166666667	0	3.36493294649	1
53	52.9166666667	0.25	3.36793294649	1
53	52.9166666667	0.5	3.37093294649	1
53	52.9166666667	0.75	3.37338400078	1
53	52.9166666667	1	3.41370400078	1
53	52.9166666667	1.25	3.45402400078	1
53	52.9166666667	1.5	3.49434400078	1
53	52.9166666667	1.75	3.58426863509	1
53	52.9166666667	2	3.63710399112	1
53	52.9166666667	2.25	3.68993934715	2
53	52.9166666667	2.5	3.74277470318	2
53	52.9166666667	2.75	3.88547892631	1
53	52.9166666667	3	3.83277059298	1
53	52.9166666667	3.25	3.78006225965	1
53	52.9166666667	3.75	1.95238640509	2
53	52.9166666667	4	3.17129428968	1
53	52.9166666667	4.25	1.67225615753	1
53	52.9166666667	4.5	1.31652992431	1
53	52.9166666667	4.75	0.956629147778	1
53	52.9166666667	5	0.281351700793	1
53.5	53.4166666667	0	3.36581002105	1
53.5	53.4166666667	0.25	3.36674335438	1
53.5	53.4166666667	0.5	3.36767668772	1
53.5	53.4166666667	0.75	3.36676338206	1
53.5	53.4166666667	1	3.40270471539	1
53.5	53.4166666667	1.25	3.43864604873	1
53.5	53.4166666667	1.5	3.47458738206	1
53.5	53.4166666667	1.75	3.5580171183	1
53.5	53.4166666667	2	3.61182245163	1
53.5	53.4166666667	2.25	3.66562778497	1
53.5	53.4166666667	2.5	3.7194331183	2
53.5	53.4166666667	2.75	3.8671044812	1
53.5	53.4166666667	3	3.82932314787	1
53.5	53.4166666667	3.25	3.79154181454	1
53.5	53.4166666667	3.75	2.32651687339	2
53.5	53.4166666667	4	3.31861517254	1
53.5	53.4166666667	4.25	1.79142958955	2
53.5	53.4166666667	4.5	1.42584407378	1
53.5	53.4166666667	4.75	1.0558160455	1
53.5	53.4166666667	5	0.51463956967	1
54	53.9166666667	0	3.36826218787	1
54	53.9166666667	0.25	3.36749418787	1
54	53.9166666667	0.5	3.36672618787	1
54	53.9166666667	0.75	3.36320199596	1
54	53.9166666667	1	3.39512732929	1
54	53.9166666667	1.25	3.42705266263	1
54	53.9166666667	1.5	3.45897799596	1
54	53.9166666667	1.75	3.53454655684	1
54	53.9166666667	2	3.58839455684	1
54	53.9166666667	2.25	3.64224255684	1
54	53.9166666667	2.5	3.69609055684	2
54	53.9166666667	2.75	3.84518760707	1
54	53.9166666667	3	3.82149960707	1
54	53.9166666667	3.25	3.79781160707	1
54	53.9166666667	3.5	3.75696838111	1
54	53.9166666667	3.75	2.69549447163	1
54	53.9166666667	4	3.43497844956	1
54	53.9166666667	4.25	3.05251271849	1
