requested_relative_ms	sample_time_s	sample_relative_ms	file	jet_top_mm	base_radius_mm	max_radius_mm	max_to_base_ratio	upper_mean_radius_mm	lower_mean_radius_mm	upper_to_lower_ratio	layers_with_multiple_central_crossings	max_central_crossings
76.5	0.223	76.5	interface-000223000us.dat	7.58850292139	3.29918466385	8.98101361069	2.72219185215	2.45393827251	3.83789267328	0.639397315511	11	2
77	0.2235	77	interface-000223500us.dat	7.62726307012	8.63092220962	9.27657780976	1.07480725518	2.43594146588	3.74503118199	0.650446243971	11	2
77.5	0.224	77.5	interface-000224000us.dat	7.66544072668	3.25616168414	9.55671904927	2.93496453073	2.41180381953	3.92822025261	0.613968582317	12	3
78	0.2245	78	interface-000224500us.dat	7.70302341185	3.20338095054	9.82472932965	3.06698749894	2.39475723316	4.45518207542	0.537521742685	11	2
78.5	0.225	78.5	interface-000225000us.dat	7.74001820256	3.15066697244	8.92886810049	2.83396124649	2.38736294324	3.71930069682	0.641884896611	13	2
79	0.2255	79	interface-000225500us.dat	7.77543082694	3.05547275846	9.19457824191	3.00921623878	2.35716769927	3.81989295086	0.61707689969	13	3
79.5	0.226	79.5	interface-000226000us.dat	7.81025051641	2.95747443141	9.44058421623	3.1921101721	2.3298302906	3.76067176835	0.619525030132	13	2
80	0.2265	80	interface-000226500us.dat	7.84547983411	2.76160372085	9.67834751997	3.50461126877	2.32340342202	3.70088640386	0.627796470488	14	3
80.5	0.227	80.5	interface-000227000us.dat	7.88012320913	2.63277983892	9.90448627778	3.76198804448	2.30134830086	3.79084399147	0.607080720292	13	3
81	0.2275	81	interface-000227500us.dat	7.91418178797	2.49762943442	9.14599127799	3.66186879124	2.27321731099	3.73959347537	0.607878189424	14	3
81.5	0.228	81.5	interface-000228000us.dat	7.94765963939	2.4327662675	9.36636185797	3.85008703182	2.2496943051	3.68960283964	0.609738880547	15	3
82	0.2285	82	interface-000228500us.dat	7.98055630528	2.39955606472	9.58211537577	3.9932867236	2.23646771436	4.90817978655	0.455661326932	14	3
82.5	0.229	82.5	interface-000229000us.dat	8.01487570661	2.34203275708	9.78979699186	4.18004272668	2.19763328942	4.1825227591	0.525432476042	13	3
83	0.2295	83	interface-000229500us.dat	8.04961689399	2.33464235408	9.98694956615	4.27772140289	2.36075387899	4.29538463304	0.549602440915	16	3
83.5	0.23	83.5	interface-000230000us.dat	8.0857772022	2.38891225317	9.3350314512	3.90764936586	2.20023087075	4.26707368982	0.515629921274	17	3
84	0.2305	84	interface-000230500us.dat	8.12135554857	2.42942982016	9.53295197718	3.92394622725	2.20660997181	3.47162254399	0.635613446985	17	3
84.5	0.231	84.5	interface-000231000us.dat	8.15834325856	2.46733136977	9.71899095603	3.93906999081	2.2082170945	4.73904424468	0.465962540227	16	3
85	0.2315	85	interface-000231500us.dat	8.1947420303	2.48672051728	9.71671047387	3.90743970075	2.28628966645	3.94760915778	0.579158061265	14	3
85.5	0.232	85.5	interface-000232000us.dat	8.23155580799	2.55623047797	9.32946877356	3.64969780853	2.16004261873	3.90566880053	0.553053197555	15	3
86	0.2325	86	interface-000232500us.dat	8.26678504363	2.6109378204	9.50247974658	3.63948910324	2.16512361669	3.23988824649	0.668271079733	14	2
86.5	0.233	86.5	interface-000233000us.dat	8.3024290199	2.65636034739	9.67432218979	3.64194646984	2.65917408803	3.15901137936	0.841774140289	14	3
87	0.2335	87	interface-000233500us.dat	8.33748639888	2.6961028265	9.1502382322	3.39387583524	2.66541651595	3.72953829324	0.714677342442	12	3
87.5	0.234	87.5	interface-000234000us.dat	8.37195405927	2.7419349398	9.32154518661	3.39962303675	2.72909562369	3.66946095971	0.74373202322	12	3
88	0.2345	88	interface-000234500us.dat	8.40681967775	2.77929229363	9.47845070853	3.41038282669	2.78697366617	2.98488036208	0.933696941953	14	3
88.5	0.235	88.5	interface-000235000us.dat	8.44007414587	2.80979203318	8.98167968992	3.19656386803	3.13550469032	2.92110954288	1.07339510699	14	3
89	0.2355	89	interface-000235500us.dat	8.47271839516	2.8860144485	9.14245515071	3.16784801804	3.39455277651	2.86807843993	1.1835634372	13	3
89.5	0.236	89.5	interface-000236000us.dat	8.50574941988	2.90238238557	9.2907502193	3.20107724795	3.76488194201	2.82123742472	1.33447894496	12	3
90	0.2365	90	interface-000236500us.dat	8.53716497965	2.91855123359	9.09206435711	3.1152663186	3.91795417761	2.79151918797	1.40352041802	15	4
