requested_relative_ms	sample_time_s	sample_relative_ms	file	jet_top_mm	base_radius_mm	max_radius_mm	max_to_base_ratio	upper_mean_radius_mm	lower_mean_radius_mm	upper_to_lower_ratio	layers_with_multiple_central_crossings	max_central_crossings
58	0.20425	57.9166666667	interface-000204250us.dat	5.66947350126	3.39517017464	3.77590776341	1.1121409441	3.41999550972	3.40775260171	1.00359266339	1	2
58.5	0.20475	58.4166666667	interface-000204750us.dat	5.72808263747	3.39240889346	3.70605156142	1.09245426416	3.5991242293	3.42354452561	1.05128594133	1	2
59	0.20525	58.9166666667	interface-000205250us.dat	5.78558356035	3.38867939687	3.69645016824	1.09082321911	3.60794286486	3.42549122594	1.05326291235	1	2
59.5	0.20575	59.4166666667	interface-000205750us.dat	5.84423622616	3.38155322074	3.74009522907	1.10602879355	3.64495970275	3.42457887991	1.06435267826	2	2
60	0.20625	59.9166666667	interface-000206250us.dat	5.90209641376	3.36925448157	3.72090909701	1.10437163989	3.64312360004	3.42453701117	1.06382953028	2	2
60.5	0.20675	60.4166666667	interface-000206750us.dat	5.95907650058	3.35399835066	3.70427756566	1.10443631105	3.51039990536	3.42389178663	1.02526602011	1	2
61	0.20725	60.9166666667	interface-000207250us.dat	6.01608657364	3.33557817583	3.73479734067	1.11968514716	3.57337351229	3.42224741039	1.04415989956	1	2
61.5	0.20775	61.4166666667	interface-000207750us.dat	6.07303873695	3.31367265943	3.74261169134	1.12944520355	3.60937770773	3.41953247371	1.05551789184	1	2
62	0.20825	61.9166666667	interface-000208250us.dat	6.1288977585	3.28919980664	3.7395083609	1.13690519906	3.61065145886	3.41482299505	1.05734659281	1	2
62.5	0.20875	62.4166666667	interface-000208750us.dat	6.18365314611	3.26266221961	3.7178608479	1.13951754661	3.61246205571	3.40794143541	1.06001295039	1	2
63	0.20925	62.9166666667	interface-000209250us.dat	6.23828838193	3.23420476898	3.69862035622	1.1435949856	3.61395745719	3.39943047305	1.06310674269	1	2
