requested_relative_ms	sample_time_s	sample_relative_ms	file	jet_top_mm	base_radius_mm	max_radius_mm	max_to_base_ratio	upper_mean_radius_mm	lower_mean_radius_mm	upper_to_lower_ratio	layers_with_multiple_central_crossings	max_central_crossings
63.5	0.20975	63.4166666667	interface-000209750us.dat	6.29172854074	3.20440087433	3.69073382567	1.15177032163	3.57495882404	3.38741969437	1.05536341717	0	1
64	0.21025	63.9166666667	interface-000210250us.dat	6.34444702437	3.17599872798	3.73354403485	1.17554960018	3.60211697263	3.37672395508	1.06674902081	0	1
64.5	0.21075	64.4166666667	interface-000210750us.dat	6.39753651048	3.14862985684	3.71128955135	1.17869985362	3.57269700883	3.36482947915	1.06177654201	1	2
65	0.21125	64.9166666667	interface-000211250us.dat	6.44899730319	3.12251796683	3.69227982804	1.18246872148	3.57658427614	3.37024396933	1.0612241454	1	2
65.5	0.21175	65.4166666667	interface-000211750us.dat	6.5008408557	3.09759282781	3.74966072579	1.21050794414	3.60846448053	3.35690309109	1.07493853192	1	2
66	0.21225	65.9166666667	interface-000212250us.dat	6.55407207759	3.07366910944	3.72175070764	1.21084950108	3.60820068723	3.34249432857	1.0794934359	0	1
66.5	0.21275	66.4166666667	interface-000212750us.dat	6.6067259721	3.05041803391	3.69931014088	1.21272235469	3.57153485348	3.32698345885	1.07350544349	1	2
67	0.21325	66.9166666667	interface-000213250us.dat	6.66184657539	3.02753412748	3.67978785265	1.21544058554	3.5704281384	3.31087703352	1.07839345958	2	2
67.5	0.21375	67.4166666667	interface-000213750us.dat	6.72048097157	3.01761538075	3.68483699141	1.22110889775	3.5735795468	3.29405955924	1.08485577827	0	1
68	0.21425	67.9166666667	interface-000214250us.dat	6.78466683467	2.99722285806	3.65476826081	1.21938488857	3.56493570472	3.27637357896	1.08807363349	0	1
68.5	0.21475	68.4166666667	interface-000214750us.dat	6.85343272287	2.97700329579	3.62439115426	1.21746292971	3.54407716255	3.25772439839	1.08789962844	1	2
69	0.21525	68.9166666667	interface-000215250us.dat	6.92680830237	2.9574314733	3.59479855237	1.21551372697	3.50477137632	3.23626205162	1.08296896865	1	2
69.5	0.21575	69.4166666667	interface-000215750us.dat	7.00484976102	2.93745325768	3.63410880419	1.23716310879	3.51279397791	3.21298833495	1.09331052954	0	1
70	0.21625	69.9166666667	interface-000216250us.dat	7.08657598203	2.91643508572	3.60296499973	1.2354003754	3.51015903701	3.18739842997	1.10126145637	1	2
70.5	0.21675	70.4166666667	interface-000216750us.dat	7.17001892658	2.89509804061	3.57828875086	1.235981891	3.5072891278	3.1836025105	1.10167306258	0	1
71	0.21725	70.9166666667	interface-000217250us.dat	7.25420070088	2.87452271986	3.55760414018	1.23763298707	3.48346330151	3.15776303275	1.10314272014	1	2
71.5	0.21775	71.4166666667	interface-000217750us.dat	7.33814759157	2.79714363191	3.55528688238	1.27104194501	3.48430186806	3.13330978993	1.11201959004	2	2
72	0.21825	71.9166666667	interface-000218250us.dat	7.42090421946	2.76971324608	3.53113897373	1.27491139334	3.48331232178	3.1106616375	1.11979788473	2	2
72.5	0.21875	72.4166666667	interface-000218750us.dat	7.50251478858	2.74342872664	3.51802054977	1.28234443112	3.46305496572	3.11323797075	1.11236436092	2	2
73	0.21925	72.9166666667	interface-000219250us.dat	7.58202883573	2.71683313581	3.56895972142	1.31364700849	3.47365864192	3.09296833961	1.12308250861	3	2
73.5	0.21975	73.4166666667	interface-000219750us.dat	7.66051777527	2.69142202384	3.54828780556	1.31836916475	3.47370015144	3.07295908703	1.13040885123	2	2
74	0.22025	73.9166666667	interface-000220250us.dat	7.73708620353	2.66873920304	3.53221698353	1.32355270216	3.47377586847	3.05282884679	1.13788752754	2	2
74.5	0.22075	74.4166666667	interface-000220750us.dat	7.81169762393	2.64917012331	3.52399038599	1.33022426721	3.48360744457	3.02107088902	1.1531035095	3	2
75	0.22125	74.9166666667	interface-000221250us.dat	7.88526406583	2.63562178006	3.51943469555	1.33533374256	3.45956466057	3.02866509494	1.14227375828	1	2
75.5	0.22175	75.4166666667	interface-000221750us.dat	7.95870396598	2.6179531511	3.50223654423	1.3377766301	3.45727121458	2.99998835651	1.15242821096	3	2
76	0.22225	75.9166666667	interface-000222250us.dat	8.0319413015	2.62472544713	3.48792447597	1.32887212252	3.45505036637	2.97836338455	1.16004997385	2	2
76.5	0.22275	76.4166666667	interface-000222750us.dat	8.10686334707	2.63303961994	3.52376335585	1.33828725142	3.45709270408	2.9469139295	1.17312306595	2	2
77	0.22325	76.9166666667	interface-000223250us.dat	8.18132421493	2.6419446587	3.50288340052	1.32587311736	3.43933020151	2.92576393617	1.17553236575	2	2
77.5	0.22375	77.4166666667	interface-000223750us.dat	8.25819882411	2.64857407315	3.48519577147	1.31587626972	3.4428584594	2.89461653997	1.18940053436	3	2
78	0.22425	77.9166666667	interface-000224250us.dat	8.33745655692	2.65716610668	3.49106201688	1.31382904821	3.43686786738	2.87191987613	1.1967143986	1	2
78.5	0.22475	78.4166666667	interface-000224750us.dat	8.4180958627	2.6675918815	3.46899740334	1.30042283732	3.42698567189	2.84772901507	1.20341003436	1	2
