requested_relative_ms	sample_time_s	sample_relative_ms	file	jet_top_mm	base_radius_mm	max_radius_mm	max_to_base_ratio	upper_mean_radius_mm	lower_mean_radius_mm	upper_to_lower_ratio	layers_with_multiple_central_crossings	max_central_crossings
76.5	0.223	76.5	interface-000223000us.dat	7.53415151185	3.34913379978	9.71074378156	2.89947919734	2.48705297944	5.02483570085	0.494952099433	11	3
77	0.2235	77	interface-000223500us.dat	7.57271412277	3.33127056165	8.58657434582	2.57756738365	2.46303667853	4.230556639	0.582201560858	9	2
77.5	0.224	77.5	interface-000224000us.dat	7.60942086029	3.30132248341	8.90308789718	2.69682466403	2.44697102524	3.91870141011	0.624434160492	12	3
78	0.2245	78	interface-000224500us.dat	7.64526770079	8.56724524492	9.19931094164	1.07377700517	2.42689893198	4.62500471511	0.524734369253	11	2
78.5	0.225	78.5	interface-000225000us.dat	7.68024834435	3.24369900066	9.48046012682	2.92273115505	2.40533163349	4.13855759911	0.581200472842	10	2
79	0.2255	79	interface-000225500us.dat	7.71437559465	3.1735858143	9.74987698915	3.07219579355	2.37792869779	3.87156903737	0.614202839945	12	4
79.5	0.226	79.5	interface-000226000us.dat	7.74761610145	3.09428713155	8.81628759953	2.84921444737	2.37558103624	3.80210558716	0.624806697704	14	2
80	0.2265	80	interface-000226500us.dat	7.78093695872	3.02932026481	9.08625432116	2.99943668113	2.34247816061	4.65118333089	0.503630580426	12	3
80.5	0.227	80.5	interface-000227000us.dat	7.81331822293	2.79024698	9.34165895369	3.34796848475	2.33532295339	3.83124788368	0.609546295174	11	3
81	0.2275	81	interface-000227500us.dat	7.84569710849	2.66129216713	9.5865634844	3.60222135803	2.30675440676	3.77378748012	0.611257104147	12	3
81.5	0.228	81.5	interface-000228000us.dat	7.87810446608	2.55449907772	9.81907561138	3.84383603698	2.27917179087	4.48400838724	0.50828892233	13	3
82	0.2285	82	interface-000228500us.dat	7.90850008833	2.45282245817	9.03956013645	3.68537074763	2.25952340142	4.34718238193	0.519767335001	14	3
82.5	0.229	82.5	interface-000229000us.dat	7.93985571753	2.38836201117	9.26774282594	3.8803760831	2.23200664639	3.75205554351	0.594875694273	16	3
83	0.2295	83	interface-000229500us.dat	7.97117567752	2.39222524192	9.48815879071	3.96624808753	2.21942062674	4.41482794247	0.502719620258	15	3
83.5	0.23	83.5	interface-000230000us.dat	8.00348498712	2.39402458581	9.70016347063	4.05182282928	2.21258821887	3.65422421832	0.605487809911	15	3
84	0.2305	84	interface-000230500us.dat	8.03582606648	2.40094299064	9.89478124931	4.121206246	2.16290831707	4.32168090203	0.50047848652	16	3
84.5	0.231	84.5	interface-000231000us.dat	8.06921540591	2.4104394657	9.23844443942	3.83268054265	2.17199525402	4.1504115388	0.523320454782	15	2
85	0.2315	85	interface-000231500us.dat	8.1035292823	2.46530305236	9.44229441314	3.83007452334	2.17716436951	4.08912471359	0.532427969799	16	3
85.5	0.232	85.5	interface-000232000us.dat	8.13686445515	2.5110452633	9.63604736975	3.83746462503	2.19641087759	4.16128780347	0.527819987784	15	4
86	0.2325	86	interface-000232500us.dat	8.17128944988	2.55585867345	9.81981410352	3.84208023923	2.35503193108	3.35418863181	0.702116723177	17	3
86.5	0.233	86.5	interface-000233000us.dat	8.20568506123	2.59390856106	9.25242799021	3.56698309613	2.12781458022	3.90589248751	0.544770391664	16	4
87	0.2335	87	interface-000233500us.dat	8.23892793341	2.6470629214	9.43045292993	3.56261003608	2.135632908	3.869707185	0.551884885833	12	2
87.5	0.234	87.5	interface-000234000us.dat	8.27090435646	2.68913508747	9.60910162859	3.57330566001	2.15828413666	3.17164104115	0.680494453395	14	3
88	0.2345	88	interface-000234500us.dat	8.30348006725	2.72594506643	9.087870009	3.33384194748	2.61734294092	3.10966774434	0.841679290556	13	2
88.5	0.235	88.5	interface-000235000us.dat	8.33578043123	2.76599757165	9.26101203868	3.34816347404	2.68637616358	3.67530606788	0.730925836913	13	3
89	0.2355	89	interface-000235500us.dat	8.36804044022	2.79701262168	9.42316560163	3.36901075404	2.74597853442	3.63597746599	0.755224299409	14	3
89.5	0.236	89.5	interface-000236000us.dat	8.40025115001	2.86638113558	8.92280495235	3.11291643724	3.39786881186	2.93497494898	1.15771646128	14	3
90	0.2365	90	interface-000236500us.dat	8.4313002708	2.89398843072	9.08632241496	3.13972313037	3.54092257641	2.87715032823	1.23070475034	13	4
